Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2017-01-10,72.73,22,70.59,17,66.67,9,50.00,2
2017-01-11,53.85,26,38.46,13,37.50,8,-1,0
2017-01-12,42.86,35,39.29,28,25.00,20,100.00,2
2017-01-13,69.57,23,60.00,15,55.56,9,80.00,5
2017-01-14,75.00,4,75.00,4,100.00,3,-1,0
2017-01-15,88.89,9,88.89,9,88.89,9,100.00,3
2017-01-16,52.94,17,46.15,13,66.67,6,50.00,2
2017-01-17,76.00,25,78.95,19,84.62,13,-1,0
2017-01-18,-1,0,-1,0,-1,0,-1,0
2017-01-19,52.78,36,51.72,29,42.86,21,28.57,7
2017-01-20,72.41,58,71.43,42,67.86,28,75.00,4
2017-01-21,89.29,28,88.46,26,95.45,22,50.00,2
2017-01-22,64.71,34,67.86,28,71.43,21,50.00,4
2017-01-23,60.33,184,57.97,138,56.12,98,61.11,18
2017-01-24,57.69,52,57.58,33,57.14,28,100.00,3
2017-01-25,73.91,23,72.22,18,69.23,13,100.00,4
2017-01-26,54.55,22,50.00,20,58.82,17,100.00,2
2017-01-27,74.29,35,71.43,28,70.00,20,80.00,5
2017-01-28,72.73,11,77.78,9,75.00,8,0.00,1
2017-01-29,78.57,14,76.92,13,90.91,11,66.67,3
2017-01-30,74.07,27,70.00,20,70.59,17,66.67,6
2017-01-31,54.17,24,52.63,19,50.00,18,100.00,2
2017-02-01,70.59,17,73.33,15,71.43,14,-1,0
2017-02-02,62.50,24,70.59,17,71.43,14,100.00,3
2017-02-03,66.67,18,75.00,12,77.78,9,100.00,4
2017-02-04,77.78,9,77.78,9,85.71,7,100.00,1
2017-02-05,71.43,14,77.78,9,77.78,9,100.00,2
2017-02-06,84.62,13,83.33,12,87.50,8,100.00,2
2017-02-07,66.67,21,73.33,15,77.78,9,100.00,2
2017-02-08,88.24,17,93.33,15,92.86,14,100.00,2
2017-02-09,80.00,15,78.57,14,83.33,12,80.00,5
2017-02-10,72.00,25,70.00,20,70.00,10,66.67,3
2017-02-11,88.89,9,88.89,9,87.50,8,0.00,1
2017-02-12,77.78,9,100.00,6,100.00,5,100.00,1
2017-02-13,75.00,20,73.68,19,70.59,17,33.33,3
2017-02-14,39.13,23,40.91,22,43.75,16,100.00,1
2017-02-15,72.73,11,87.50,8,85.71,7,-1,0
2017-02-16,64.52,31,68.18,22,83.33,12,100.00,2
2017-02-17,56.67,30,54.17,24,62.50,16,33.33,3
2017-02-18,71.43,7,71.43,7,71.43,7,0.00,1
2017-02-19,77.78,9,77.78,9,85.71,7,100.00,1
2017-02-20,60.00,15,64.29,14,87.50,8,100.00,2
2017-02-21,91.67,12,100.00,8,100.00,8,-1,0
2017-02-22,45.00,20,38.89,18,46.15,13,100.00,1
2017-02-23,80.00,25,76.47,17,66.67,12,0.00,1
2017-02-24,64.71,17,73.33,15,66.67,12,50.00,2
2017-02-25,100.00,5,100.00,5,100.00,3,-1,0
2017-02-26,66.67,3,66.67,3,66.67,3,-1,0
2017-02-27,50.00,12,54.55,11,37.50,8,0.00,4
2017-02-28,73.33,15,71.43,14,75.00,12,33.33,3
2017-03-01,55.35,271,53.37,193,43.12,109,71.79,39
2017-03-02,53.12,32,54.55,22,55.56,18,66.67,6
2017-03-03,46.88,32,38.46,26,39.13,23,44.44,9
2017-03-04,87.50,8,100.00,5,100.00,5,-1,0
2017-03-05,88.89,9,100.00,8,100.00,6,-1,0
2017-03-06,59.09,22,61.11,18,73.33,15,100.00,3
2017-03-07,52.17,23,44.44,18,47.06,17,75.00,4
2017-03-08,66.67,21,56.25,16,57.14,14,66.67,3
2017-03-09,61.54,13,58.33,12,87.50,8,66.67,3
2017-03-10,53.33,15,45.45,11,40.00,10,20.00,5
2017-03-11,100.00,5,100.00,5,100.00,4,-1,0
2017-03-12,75.00,4,75.00,4,75.00,4,0.00,1
2017-03-13,37.50,8,37.50,8,37.50,8,0.00,2
2017-03-14,90.00,10,87.50,8,85.71,7,50.00,2
2017-03-15,73.33,15,75.00,12,70.00,10,100.00,2
2017-03-16,35.58,104,32.22,90,28.17,71,26.32,38
2017-03-17,69.77,43,67.65,34,62.07,29,100.00,8
2017-03-18,100.00,4,100.00,4,100.00,3,-1,0
2017-03-19,100.00,6,100.00,4,100.00,3,100.00,2
2017-03-20,59.09,22,61.11,18,75.00,12,100.00,7
2017-03-21,77.78,18,75.00,16,83.33,12,83.33,6
2017-03-22,75.00,12,66.67,9,71.43,7,75.00,4
2017-03-23,75.00,8,66.67,6,60.00,5,100.00,1
2017-03-24,60.00,10,57.14,7,80.00,5,0.00,1
2017-03-25,100.00,3,100.00,2,100.00,2,-1,0
2017-03-26,100.00,6,100.00,4,100.00,4,-1,0
2017-03-27,66.67,9,62.50,8,62.50,8,0.00,1
2017-03-28,55.56,9,62.50,8,57.14,7,66.67,3
2017-03-29,33.33,12,36.36,11,36.36,11,33.33,3
2017-03-30,58.06,31,53.85,26,33.33,18,50.00,2
2017-03-31,51.43,35,42.86,28,42.11,19,100.00,4
2017-04-01,0.00,1,0.00,1,0.00,1,-1,0
2017-04-02,66.67,6,66.67,6,80.00,5,-1,0
2017-04-03,63.64,33,57.69,26,50.00,20,100.00,3
2017-04-04,57.14,28,29.41,17,22.22,9,33.33,3
2017-04-05,58.06,31,55.56,27,57.14,21,100.00,7
2017-04-06,38.10,21,37.50,16,28.57,14,50.00,2
2017-04-07,60.00,5,60.00,5,75.00,4,100.00,1
2017-04-08,80.00,5,80.00,5,80.00,5,-1,0
2017-04-09,-1,0,-1,0,-1,0,-1,0
2017-04-10,52.38,21,50.00,18,50.00,14,100.00,1
2017-04-11,74.07,27,80.95,21,75.00,16,100.00,3
2017-04-12,54.55,11,55.56,9,57.14,7,100.00,1
2017-04-13,36.36,11,33.33,9,20.00,5,-1,0
2017-04-14,85.71,7,80.00,5,75.00,4,-1,0
2017-04-15,66.67,3,66.67,3,100.00,1,-1,0
2017-04-16,60.00,5,100.00,3,100.00,1,-1,0
2017-04-17,78.33,60,79.55,44,81.82,33,100.00,11
2017-04-18,60.00,65,60.87,46,56.76,37,100.00,8
2017-04-19,65.38,26,57.14,21,53.33,15,33.33,6
2017-04-20,81.25,32,82.61,23,81.25,16,100.00,6
2017-04-21,57.50,40,59.38,32,53.57,28,80.00,5
2017-04-22,71.43,7,66.67,6,75.00,4,-1,0
2017-04-23,70.00,10,85.71,7,83.33,6,50.00,2
2017-04-24,68.35,79,74.63,67,75.93,54,100.00,12
2017-04-25,56.73,342,54.74,274,53.30,212,71.76,85
2017-04-26,44.16,77,41.54,65,30.43,46,43.75,16
2017-04-27,58.44,77,55.00,60,57.14,49,57.69,26
2017-04-28,75.00,24,76.19,21,66.67,15,85.71,7
2017-04-29,100.00,4,100.00,3,100.00,3,-1,0
2017-04-30,40.00,5,50.00,4,50.00,4,-1,0
